album,artists,disc_number,duration_ms,episode,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,available_markets
Sylvan Esso,['Sylvan Esso'],1,268213,FALSE,FALSE,{'isrc': 'USBQU1400001'},{'spotify': 'https://open.spotify.com/track/30GGIrrJdSNtecPiFcVP5O'},https://api.spotify.com/v1/tracks/30GGIrrJdSNtecPiFcVP5O,30GGIrrJdSNtecPiFcVP5O,FALSE,Coffee,61,https://p.scdn.co/mp3-preview/f3888e1ddd1fb009d6659851cf5ea35e3da75182?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,7,track,spotify:track:30GGIrrJdSNtecPiFcVP5O,
Sylvan Esso,['Sylvan Esso'],1,229840,FALSE,FALSE,{'isrc': 'USBQU1400004'},{'spotify': 'https://open.spotify.com/track/29yWkZYR3x5KviEWmoKcUk'},https://api.spotify.com/v1/tracks/29yWkZYR3x5KviEWmoKcUk,29yWkZYR3x5KviEWmoKcUk,FALSE,Dress,45,https://p.scdn.co/mp3-preview/8394d363f25719f6736b79dd7931f2911718506a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:29yWkZYR3x5KviEWmoKcUk,
Plural,['Electric Guest'],1,217586,FALSE,FALSE,{'isrc': 'USUM71614152'},{'spotify': 'https://open.spotify.com/track/1kcfGBb6kSrGqNIMW7rAlB'},https://api.spotify.com/v1/tracks/1kcfGBb6kSrGqNIMW7rAlB,1kcfGBb6kSrGqNIMW7rAlB,FALSE,Oh Devil,56,https://p.scdn.co/mp3-preview/f2e486db3b422c91c10552a47df2c8ae7cec6d09?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:1kcfGBb6kSrGqNIMW7rAlB,
B.L.I.S.S.,['Souly Had'],1,159813,FALSE,FALSE,{'isrc': 'QZAPG1772121'},{'spotify': 'https://open.spotify.com/track/0FtuxFKzjbVCQAA3UQZXll'},https://api.spotify.com/v1/tracks/0FtuxFKzjbVCQAA3UQZXll,0FtuxFKzjbVCQAA3UQZXll,FALSE,Crush,57,https://p.scdn.co/mp3-preview/94782cdf03902629d302203b611ed2819df86e75?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:0FtuxFKzjbVCQAA3UQZXll,
PSYCHODRAMA,"['Dave', 'J Hus']",1,240160,FALSE,TRUE,{'isrc': 'GBUM71900581'},{'spotify': 'https://open.spotify.com/track/3rqmxZNh2BRgJ3BiCPFTSG'},https://api.spotify.com/v1/tracks/3rqmxZNh2BRgJ3BiCPFTSG,3rqmxZNh2BRgJ3BiCPFTSG,FALSE,Disaster (feat. J Hus),62,https://p.scdn.co/mp3-preview/bdd54d85fb12047a6bc281695468fa5a04c1648a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,6,track,spotify:track:3rqmxZNh2BRgJ3BiCPFTSG,
Life Of A Ghost,['Blue Foundation'],1,302826,FALSE,FALSE,{'isrc': 'DKABA0700900'},{'spotify': 'https://open.spotify.com/track/3XHrTm6WE2BOHafLwTT3GR'},https://api.spotify.com/v1/tracks/3XHrTm6WE2BOHafLwTT3GR,3XHrTm6WE2BOHafLwTT3GR,FALSE,Eyes on Fire,66,https://p.scdn.co/mp3-preview/aba14d8764b6ec60832cb58cbdf4624c899f3db3?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:3XHrTm6WE2BOHafLwTT3GR,
Sylvan Esso,['Sylvan Esso'],1,200160,FALSE,FALSE,{'isrc': 'USBQU1400022'},{'spotify': 'https://open.spotify.com/track/7bp7QInQ5uIMzYjJqTtjVA'},https://api.spotify.com/v1/tracks/7bp7QInQ5uIMzYjJqTtjVA,7bp7QInQ5uIMzYjJqTtjVA,FALSE,Hey Mami,54,https://p.scdn.co/mp3-preview/4241c4c411e58c9f14b4352703c90e1132233091?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:7bp7QInQ5uIMzYjJqTtjVA,
Skin,['Dijon'],1,230625,FALSE,FALSE,{'isrc': 'QM24S1808239'},{'spotify': 'https://open.spotify.com/track/467t3218y3yihFcyDGWjr0'},https://api.spotify.com/v1/tracks/467t3218y3yihFcyDGWjr0,467t3218y3yihFcyDGWjr0,FALSE,Skin,66,https://p.scdn.co/mp3-preview/b8dac2ff6f7f80e46fb0b916af14974304c082b8?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:467t3218y3yihFcyDGWjr0,
MIXED EMOTIONS,['Jack Kays'],1,152500,FALSE,FALSE,{'isrc': 'USSM12005991'},{'spotify': 'https://open.spotify.com/track/0EUEtq224zqzpzPHof2qmL'},https://api.spotify.com/v1/tracks/0EUEtq224zqzpzPHof2qmL,0EUEtq224zqzpzPHof2qmL,FALSE,BOTTOM OF THE BOTTLE,60,https://p.scdn.co/mp3-preview/2259da7cad652d8e7bceafcfb61f18820553a339?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,7,track,spotify:track:0EUEtq224zqzpzPHof2qmL,
Can't Hide,"['Whethan', 'Ashe']",1,184000,FALSE,FALSE,{'isrc': 'QM24S1650119'},{'spotify': 'https://open.spotify.com/track/7CotyU8EcChJlqOFnxPPmI'},https://api.spotify.com/v1/tracks/7CotyU8EcChJlqOFnxPPmI,7CotyU8EcChJlqOFnxPPmI,FALSE,Can't Hide,53,https://p.scdn.co/mp3-preview/254f252350f32fdfd0641f901bd2316841417cd6?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:7CotyU8EcChJlqOFnxPPmI,
Trettmann,"['Trettmann', 'KitschKrieg', 'SFR', 'KeKe']",1,203525,FALSE,FALSE,{'isrc': 'DELV41900373'},{'spotify': 'https://open.spotify.com/track/1BPeDi69y1PIqB9Hnc5DVu'},https://api.spotify.com/v1/tracks/1BPeDi69y1PIqB9Hnc5DVu,1BPeDi69y1PIqB9Hnc5DVu,FALSE,Wenn du mich brauchst,41,https://p.scdn.co/mp3-preview/ab68aeae448c6aaf70660987a264fc92c16744ab?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,10,track,spotify:track:1BPeDi69y1PIqB9Hnc5DVu,
Angetenar,"['Rompasso', 'Rich The Kid']",1,190909,FALSE,TRUE,{'isrc': 'RUB422001666'},{'spotify': 'https://open.spotify.com/track/04aulIHjjQyDVUUmaFDy8w'},https://api.spotify.com/v1/tracks/04aulIHjjQyDVUUmaFDy8w,04aulIHjjQyDVUUmaFDy8w,FALSE,Angetenar,59,https://p.scdn.co/mp3-preview/0d65b23d721f63c15c7feaaf083dca7cda7b9697?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:04aulIHjjQyDVUUmaFDy8w,
Fuck No (feat. Brasstracks & PhiloSofie),"['99 Neighbors', 'Brasstracks', 'PhiloSofie']",1,231601,FALSE,TRUE,{'isrc': 'USWB11902130'},{'spotify': 'https://open.spotify.com/track/0WQZG47PGOUzuQuMpB8gC0'},https://api.spotify.com/v1/tracks/0WQZG47PGOUzuQuMpB8gC0,0WQZG47PGOUzuQuMpB8gC0,FALSE,Fuck No (feat. Brasstracks & PhiloSofie),56,https://p.scdn.co/mp3-preview/a4978a3fa387afae392e30d1ffb08299205c23dd?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:0WQZG47PGOUzuQuMpB8gC0,
fabulist,['slenderbodies'],1,228061,FALSE,FALSE,{'isrc': 'DEVF11700096'},{'spotify': 'https://open.spotify.com/track/1MD2yGSeBRALkMui1fZ05P'},https://api.spotify.com/v1/tracks/1MD2yGSeBRALkMui1fZ05P,1MD2yGSeBRALkMui1fZ05P,FALSE,anemone,59,https://p.scdn.co/mp3-preview/00d0ef226e2f867ddf7761e81d921cac85eb46df?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:1MD2yGSeBRALkMui1fZ05P,
KitschKrieg,"['KitschKrieg', 'SFR', 'CRO', 'AnnenMayKantereit', 'Trettmann']",1,211844,FALSE,FALSE,{'isrc': 'DELV41801853'},{'spotify': 'https://open.spotify.com/track/2v2fXImYrdprcgUxhV7Pz7'},https://api.spotify.com/v1/tracks/2v2fXImYrdprcgUxhV7Pz7,2v2fXImYrdprcgUxhV7Pz7,FALSE,"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",57,https://p.scdn.co/mp3-preview/8ef12ffc41270224761a9b466fd00e9c5cddd743?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:2v2fXImYrdprcgUxhV7Pz7,
They Might've Even Loved Me,['NoMBe'],1,218080,FALSE,FALSE,{'isrc': 'TCACX1753674'},{'spotify': 'https://open.spotify.com/track/5XeoskAXHfUGcCJhTi26K1'},https://api.spotify.com/v1/tracks/5XeoskAXHfUGcCJhTi26K1,5XeoskAXHfUGcCJhTi26K1,FALSE,Young Hearts,56,https://p.scdn.co/mp3-preview/057687a1cd67a32e273df368ed661cf7b1e9c198?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,6,track,spotify:track:5XeoskAXHfUGcCJhTi26K1,
Napkins,['RIZ LA VIE'],1,215625,FALSE,FALSE,{'isrc': 'QM24S1802313'},{'spotify': 'https://open.spotify.com/track/0YvzawIC5nFFYj5YAvv5HP'},https://api.spotify.com/v1/tracks/0YvzawIC5nFFYj5YAvv5HP,0YvzawIC5nFFYj5YAvv5HP,FALSE,Napkins,49,https://p.scdn.co/mp3-preview/21e0eaa7967e219ed4e07fb905fac8055cb9a5e2?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:0YvzawIC5nFFYj5YAvv5HP,
"Life of a Wallflower, Vol. 1","['Whethan', 'Mascolo']",1,165618,FALSE,FALSE,{'isrc': 'USAT21701768'},{'spotify': 'https://open.spotify.com/track/08Kj0lvbsqAxzeUOBYZRL6'},https://api.spotify.com/v1/tracks/08Kj0lvbsqAxzeUOBYZRL6,08Kj0lvbsqAxzeUOBYZRL6,FALSE,Good Nights (feat. Mascolo),61,https://p.scdn.co/mp3-preview/f00f4c84afdad6a9e76b9ec8a58ed09f0c90cc06?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:08Kj0lvbsqAxzeUOBYZRL6,
#DIY,"['Trettmann', 'KitschKrieg', 'SFR']",1,325240,FALSE,FALSE,{'isrc': 'DEZ651712154'},{'spotify': 'https://open.spotify.com/track/3OZeYGQGaV5zubSr0cZJAR'},https://api.spotify.com/v1/tracks/3OZeYGQGaV5zubSr0cZJAR,3OZeYGQGaV5zubSr0cZJAR,FALSE,Geh ran,43,https://p.scdn.co/mp3-preview/12c93c6bbfc6681f08ea4bc17eaf4085200a65dc?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,10,track,spotify:track:3OZeYGQGaV5zubSr0cZJAR,
"Don't give me problems, give me wine",['BabyJake'],1,182600,FALSE,TRUE,{'isrc': 'USUM72001889'},{'spotify': 'https://open.spotify.com/track/09PziVJjD74IagSfdN58wH'},https://api.spotify.com/v1/tracks/09PziVJjD74IagSfdN58wH,09PziVJjD74IagSfdN58wH,FALSE,Confidant,55,https://p.scdn.co/mp3-preview/09c9e4b567bfdf0fc1f3621ef17ca5db92464337?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:09PziVJjD74IagSfdN58wH,
Feed. (Deluxe),['RIZ LA VIE'],1,213449,FALSE,FALSE,{'isrc': 'GBKPL2098089'},{'spotify': 'https://open.spotify.com/track/22UNTgcr9Jr3uZzZvBXy7A'},https://api.spotify.com/v1/tracks/22UNTgcr9Jr3uZzZvBXy7A,22UNTgcr9Jr3uZzZvBXy7A,FALSE,She Said,44,https://p.scdn.co/mp3-preview/c7257a6fe70f90c77a70a4efcc83e8eeab8fca0e?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:22UNTgcr9Jr3uZzZvBXy7A,
Say It Here While Its Safe,['Kweku Collins'],1,205984,FALSE,FALSE,{'isrc': 'USQY51586864'},{'spotify': 'https://open.spotify.com/track/7xOkuyxmnlsAQKHhjgJh5Q'},https://api.spotify.com/v1/tracks/7xOkuyxmnlsAQKHhjgJh5Q,7xOkuyxmnlsAQKHhjgJh5Q,FALSE,Lonely Lullabies,47,https://p.scdn.co/mp3-preview/26ad5aa34cb109b897cd0cf9131a0840e5c4c10a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:7xOkuyxmnlsAQKHhjgJh5Q,
Sylvan Esso,['Sylvan Esso'],1,255146,FALSE,FALSE,{'isrc': 'USBQU1400027'},{'spotify': 'https://open.spotify.com/track/7vITd7ck8l9Ww62BWpIhTY'},https://api.spotify.com/v1/tracks/7vITd7ck8l9Ww62BWpIhTY,7vITd7ck8l9Ww62BWpIhTY,FALSE,Uncatena,51,https://p.scdn.co/mp3-preview/833c43a123722efcf73504f1ea9bb9d9f73b67a7?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,8,track,spotify:track:7vITd7ck8l9Ww62BWpIhTY,
Heartbreak Hangovers,['Souly Had'],1,180923,FALSE,TRUE,{'isrc': 'USUM72003387'},{'spotify': 'https://open.spotify.com/track/69RZnQQaThtxwv9FCcCwRC'},https://api.spotify.com/v1/tracks/69RZnQQaThtxwv9FCcCwRC,69RZnQQaThtxwv9FCcCwRC,FALSE,Heartbreak Hangovers,36,https://p.scdn.co/mp3-preview/4d265e500437cece55b53d859761243acfc3351f?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:69RZnQQaThtxwv9FCcCwRC,
Keep.,['RIZ LA VIE'],1,245372,FALSE,FALSE,{'isrc': 'TCADB1754087'},{'spotify': 'https://open.spotify.com/track/5UgpWsQEHsdKhy1WImf1co'},https://api.spotify.com/v1/tracks/5UgpWsQEHsdKhy1WImf1co,5UgpWsQEHsdKhy1WImf1co,FALSE,Powerlines,39,https://p.scdn.co/mp3-preview/005b2caee8800b2798ee124370246d34f3a18aa4?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:5UgpWsQEHsdKhy1WImf1co,
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","['Bizarrap', 'NATHY PELUSO']",1,171215,FALSE,FALSE,{'isrc': 'UYB282001011'},{'spotify': 'https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI'},https://api.spotify.com/v1/tracks/78SeXVRJ7KCqVmOwTiFjnI,78SeXVRJ7KCqVmOwTiFjnI,FALSE,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",73,https://p.scdn.co/mp3-preview/490422b0a1228de94112a8a35afc5ea695051d9e?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,
Open Spaces,"['Just A Gent', 'Nevve']",1,206399,FALSE,FALSE,{'isrc': 'CA6D21900233'},{'spotify': 'https://open.spotify.com/track/2TXNzTUp1KMUMD7pYMWkCY'},https://api.spotify.com/v1/tracks/2TXNzTUp1KMUMD7pYMWkCY,2TXNzTUp1KMUMD7pYMWkCY,FALSE,Open Spaces,50,https://p.scdn.co/mp3-preview/a4f2bea0febdbdb3efabc42a269ad277673ca306?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:2TXNzTUp1KMUMD7pYMWkCY,
Coast Modern,['Coast Modern'],1,204066,FALSE,FALSE,{'isrc': 'USLGZ1600014'},{'spotify': 'https://open.spotify.com/track/5M7IGym8CgSVOMNvDAGheL'},https://api.spotify.com/v1/tracks/5M7IGym8CgSVOMNvDAGheL,5M7IGym8CgSVOMNvDAGheL,FALSE,Guru,59,https://p.scdn.co/mp3-preview/efc9775e985d423c198e366e9ff928641f9a51c8?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:5M7IGym8CgSVOMNvDAGheL,
Demo 001,['Wiley from Atlanta'],1,223101,FALSE,TRUE,{'isrc': 'QM24S1840135'},{'spotify': 'https://open.spotify.com/track/4NeHCGpTPVCudqVpJiT7O9'},https://api.spotify.com/v1/tracks/4NeHCGpTPVCudqVpJiT7O9,4NeHCGpTPVCudqVpJiT7O9,FALSE,Pink Skies (Demo),61,https://p.scdn.co/mp3-preview/c373ad7b728739c78f11c4f232c40e1f4ea83433?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:4NeHCGpTPVCudqVpJiT7O9,
I Dreamt We Spoke Again (Louis the Child Remix),"['Death Cab for Cutie', 'Louis The Child']",1,190399,FALSE,FALSE,{'isrc': 'USAT21902762'},{'spotify': 'https://open.spotify.com/track/2TY2GcWmTmcE6L40jYC9Xv'},https://api.spotify.com/v1/tracks/2TY2GcWmTmcE6L40jYC9Xv,2TY2GcWmTmcE6L40jYC9Xv,FALSE,I Dreamt We Spoke Again - Louis the Child Remix,49,https://p.scdn.co/mp3-preview/e387d3b68949ff5df71243d3e7a883d0e20bce3a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:2TY2GcWmTmcE6L40jYC9Xv,
Billy's Home,['808INK'],1,143925,FALSE,TRUE,{'isrc': 'FRX991588732'},{'spotify': 'https://open.spotify.com/track/6imaoKkU3JVj5TsJMZiD4G'},https://api.spotify.com/v1/tracks/6imaoKkU3JVj5TsJMZiD4G,6imaoKkU3JVj5TsJMZiD4G,FALSE,Suede Jaw,53,https://p.scdn.co/mp3-preview/c1c98dbbe77567f6d00b58b10c59b509f071aaa2?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,6,track,spotify:track:6imaoKkU3JVj5TsJMZiD4G,
Port of Miami 2,"['Rick Ross', 'Drake']",1,349600,FALSE,TRUE,{'isrc': 'USSM11904574'},{'spotify': 'https://open.spotify.com/track/1rX5L6pyl3rVWb55D8Cprr'},https://api.spotify.com/v1/tracks/1rX5L6pyl3rVWb55D8Cprr,1rX5L6pyl3rVWb55D8Cprr,FALSE,Gold Roses (feat. Drake),63,https://p.scdn.co/mp3-preview/cdd6f8549938768551c05cbcbfeb4bcb969b6dfa?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,15,track,spotify:track:1rX5L6pyl3rVWb55D8Cprr,
Santa Fe,"['DEVOTED', 'Billionaire']",1,212093,FALSE,FALSE,{'isrc': 'FR9W11715618'},{'spotify': 'https://open.spotify.com/track/09AWmqTAIk1cPQUzxyDUiA'},https://api.spotify.com/v1/tracks/09AWmqTAIk1cPQUzxyDUiA,09AWmqTAIk1cPQUzxyDUiA,FALSE,Santa Fe,44,https://p.scdn.co/mp3-preview/af0c0cae26413112aea525d4c0c62ea761ef3dbf?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:09AWmqTAIk1cPQUzxyDUiA,
Analogue,['ODIE'],1,193201,FALSE,TRUE,{'isrc': 'USUYG1187305'},{'spotify': 'https://open.spotify.com/track/4bsk2DaGmyhLhCeSXxmDuX'},https://api.spotify.com/v1/tracks/4bsk2DaGmyhLhCeSXxmDuX,4bsk2DaGmyhLhCeSXxmDuX,FALSE,Story,55,https://p.scdn.co/mp3-preview/86d542fa8b5c236dbd7b80f2aa33bbf41f274a51?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:4bsk2DaGmyhLhCeSXxmDuX,
Shakey Graves on Audiotree Live (2013),['Shakey Graves'],1,291596,FALSE,FALSE,{'isrc': 'QM99V1421501'},{'spotify': 'https://open.spotify.com/track/1Yxbxg5R6dQcYmOdjvlXP0'},https://api.spotify.com/v1/tracks/1Yxbxg5R6dQcYmOdjvlXP0,1Yxbxg5R6dQcYmOdjvlXP0,FALSE,Roll The Bones - Audiotree Live Version,59,https://p.scdn.co/mp3-preview/2417cd3945a098b2501546cac091bf8bd7b3e939?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:1Yxbxg5R6dQcYmOdjvlXP0,
Berhana,['Berhana'],1,261102,FALSE,TRUE,{'isrc': 'USYBL1600647'},{'spotify': 'https://open.spotify.com/track/1x1BKrrpq7CfOZPBeUsx16'},https://api.spotify.com/v1/tracks/1x1BKrrpq7CfOZPBeUsx16,1x1BKrrpq7CfOZPBeUsx16,FALSE,Grey Luh,54,https://p.scdn.co/mp3-preview/c7db02b6a1df155decda951e9b0e1160d1de221e?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,6,track,spotify:track:1x1BKrrpq7CfOZPBeUsx16,
#DIY,"['Trettmann', 'KitschKrieg', 'SFR']",1,193040,FALSE,FALSE,{'isrc': 'DEZ651712149'},{'spotify': 'https://open.spotify.com/track/0ycFt3ZOU7sOXCJeprNEdX'},https://api.spotify.com/v1/tracks/0ycFt3ZOU7sOXCJeprNEdX,0ycFt3ZOU7sOXCJeprNEdX,FALSE,Dumplin & Callaloo,41,https://p.scdn.co/mp3-preview/9eedf5c7aacbd5dba2e7958df675e0f8c049b8c4?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:0ycFt3ZOU7sOXCJeprNEdX,
LEAP!,"['Souly Had', 'Lonr.']",1,205384,FALSE,FALSE,{'isrc': 'USUM72018932'},{'spotify': 'https://open.spotify.com/track/3vl2uH4D2QItFFhzz5L06g'},https://api.spotify.com/v1/tracks/3vl2uH4D2QItFFhzz5L06g,3vl2uH4D2QItFFhzz5L06g,FALSE,LEAP!,42,https://p.scdn.co/mp3-preview/95ad0d1f651170149cbfe8c31ae5dfa2693e414a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:3vl2uH4D2QItFFhzz5L06g,
Trust Fall,['Caye'],1,209361,FALSE,TRUE,{'isrc': 'QM24S1911843'},{'spotify': 'https://open.spotify.com/track/1ozGeip1vdU0wY1dIw1scz'},https://api.spotify.com/v1/tracks/1ozGeip1vdU0wY1dIw1scz,1ozGeip1vdU0wY1dIw1scz,FALSE,Trust Fall,57,https://p.scdn.co/mp3-preview/2fb1880cbd097809cfb719a1cbdf8a6b69a4763d?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:1ozGeip1vdU0wY1dIw1scz,
