album,artists,disc_number,duration_ms,episode,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,available_markets
#DIY,"['Trettmann', 'KitschKrieg', 'SFR']",1,237455,FALSE,FALSE,{'isrc': 'DEZ651712147'},{'spotify': 'https://open.spotify.com/track/2gaHAv8a7eDlsZra2g2J1l'},https://api.spotify.com/v1/tracks/2gaHAv8a7eDlsZra2g2J1l,2gaHAv8a7eDlsZra2g2J1l,FALSE,Grauer Beton,52,https://p.scdn.co/mp3-preview/31022a032ddb75bfe7e3f889f078020530248f2a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:2gaHAv8a7eDlsZra2g2J1l,
dont smile at me,['Billie Eilish'],1,203569,FALSE,FALSE,{'isrc': 'USUM71707712'},{'spotify': 'https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH'},https://api.spotify.com/v1/tracks/41zXlQxzTi6cGAjpOXyLYH,41zXlQxzTi6cGAjpOXyLYH,FALSE,idontwannabeyouanymore,81,https://p.scdn.co/mp3-preview/368d39c2702293186291d7d9f0be7a3a0387fe3a?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:41zXlQxzTi6cGAjpOXyLYH,
Acid Rap,"['Chance the Rapper', 'Nate Fox']",1,139406,FALSE,TRUE,{'isrc': 'QMEZE1949601'},{'spotify': 'https://open.spotify.com/track/4ygQUye7obtqhSltSxp18H'},https://api.spotify.com/v1/tracks/4ygQUye7obtqhSltSxp18H,4ygQUye7obtqhSltSxp18H,FALSE,Pusha Man,50,https://p.scdn.co/mp3-preview/639e68b866f42cfc88b96c4ba46f254954effcb1?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:4ygQUye7obtqhSltSxp18H,
Circles,['Mac Miller'],1,209440,FALSE,TRUE,{'isrc': 'USWB11801009'},{'spotify': 'https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5'},https://api.spotify.com/v1/tracks/2hwOoMtWPtTSSn6WHV7Vp5,2hwOoMtWPtTSSn6WHV7Vp5,FALSE,Blue World,75,https://p.scdn.co/mp3-preview/c6826391e211c913320ad447dd187aa9c4d6414d?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,
#DIY,"['Trettmann', 'KitschKrieg', 'SFR']",1,226917,FALSE,FALSE,{'isrc': 'DEZ651712152'},{'spotify': 'https://open.spotify.com/track/5KDa6clXFARrCU0H71qCnu'},https://api.spotify.com/v1/tracks/5KDa6clXFARrCU0H71qCnu,5KDa6clXFARrCU0H71qCnu,FALSE,New York,49,https://p.scdn.co/mp3-preview/6436fb41852c83b5acd75d4f8fc581e4a5f1ef21?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,8,track,spotify:track:5KDa6clXFARrCU0H71qCnu,
YUUUU,"['Busta Rhymes', 'Anderson .Paak']",1,213472,FALSE,TRUE,{'isrc': 'USUYG1333230'},{'spotify': 'https://open.spotify.com/track/18Ks9kGu8LrcVoZP6M3CNK'},https://api.spotify.com/v1/tracks/18Ks9kGu8LrcVoZP6M3CNK,18Ks9kGu8LrcVoZP6M3CNK,FALSE,YUUUU,46,https://p.scdn.co/mp3-preview/50e50e2682794f108285127da5cea3dcf4ca93be?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:18Ks9kGu8LrcVoZP6M3CNK,
Acid Rap,"['Chance the Rapper', 'VIC MENSA', 'Twista']",1,307187,FALSE,TRUE,{'isrc': 'QMEZE1949603'},{'spotify': 'https://open.spotify.com/track/0aMHIW1lqrulVCx0LLlr6a'},https://api.spotify.com/v1/tracks/0aMHIW1lqrulVCx0LLlr6a,0aMHIW1lqrulVCx0LLlr6a,FALSE,Cocoa Butter Kisses,69,https://p.scdn.co/mp3-preview/ffb35cd39db5ff4229af5933994d4d631252ddaf?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:0aMHIW1lqrulVCx0LLlr6a,
Yesterday's Gone,"['Loyle Carner', 'Tom Misch']",1,172653,FALSE,TRUE,{'isrc': 'GBUM71605992'},{'spotify': 'https://open.spotify.com/track/32sBVB5HmrwJ6e9g0S2BRL'},https://api.spotify.com/v1/tracks/32sBVB5HmrwJ6e9g0S2BRL,32sBVB5HmrwJ6e9g0S2BRL,FALSE,Damselfly,65,https://p.scdn.co/mp3-preview/7729050f9a47e02877bc1e3224ac99e5a873a546?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:32sBVB5HmrwJ6e9g0S2BRL,
#DIY,"['Trettmann', 'KitschKrieg', 'SFR']",1,193040,FALSE,FALSE,{'isrc': 'DEZ651712149'},{'spotify': 'https://open.spotify.com/track/0ycFt3ZOU7sOXCJeprNEdX'},https://api.spotify.com/v1/tracks/0ycFt3ZOU7sOXCJeprNEdX,0ycFt3ZOU7sOXCJeprNEdX,FALSE,Dumplin & Callaloo,41,https://p.scdn.co/mp3-preview/9eedf5c7aacbd5dba2e7958df675e0f8c049b8c4?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:0ycFt3ZOU7sOXCJeprNEdX,
Don't Rush (feat. DaBaby),"['Young T & Bugsey', 'DaBaby']",1,201960,FALSE,TRUE,{'isrc': 'GBARL2000626'},{'spotify': 'https://open.spotify.com/track/3AMxuq6id3YGB57eWeheZQ'},https://api.spotify.com/v1/tracks/3AMxuq6id3YGB57eWeheZQ,3AMxuq6id3YGB57eWeheZQ,FALSE,Don't Rush (feat. DaBaby),64,https://p.scdn.co/mp3-preview/979038a64407f83f150442b7a8ffd74b771249a1?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:3AMxuq6id3YGB57eWeheZQ,
Acid Rap,"['Chance the Rapper', 'Nosaj Thing']",1,275281,FALSE,TRUE,{'isrc': 'QMEZE1949602'},{'spotify': 'https://open.spotify.com/track/6Oe5tmI1bfguCp6dKHbSj6'},https://api.spotify.com/v1/tracks/6Oe5tmI1bfguCp6dKHbSj6,6Oe5tmI1bfguCp6dKHbSj6,FALSE,Paranoia,52,https://p.scdn.co/mp3-preview/b4295f9f3c25708905f048bc845f82673c780a8f?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,3,track,spotify:track:6Oe5tmI1bfguCp6dKHbSj6,
Beige,"['TOBi', 'Harrison']",1,171000,FALSE,TRUE,{'isrc': 'USRC11902826'},{'spotify': 'https://open.spotify.com/track/55kxuWtCLOZ9LD7paQylnO'},https://api.spotify.com/v1/tracks/55kxuWtCLOZ9LD7paQylnO,55kxuWtCLOZ9LD7paQylnO,FALSE,Beige,29,https://p.scdn.co/mp3-preview/a3af8f20f1de5374ed1abaf8702dc242aab6c653?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:55kxuWtCLOZ9LD7paQylnO,
Lady Lady,"['Masego', 'FKJ']",1,301893,FALSE,FALSE,{'isrc': 'QM24S1703810'},{'spotify': 'https://open.spotify.com/track/51rPRW8NjxZoWPPjnRGzHw'},https://api.spotify.com/v1/tracks/51rPRW8NjxZoWPPjnRGzHw,51rPRW8NjxZoWPPjnRGzHw,FALSE,Tadow,75,https://p.scdn.co/mp3-preview/074dab958ebbd38d5fea18b54f46eff683722e7d?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,13,track,spotify:track:51rPRW8NjxZoWPPjnRGzHw,
Broke with Expensive Taste,"['Azealia Banks', 'Lazy Jay']",1,204956,FALSE,TRUE,{'isrc': 'US5Z51400584'},{'spotify': 'https://open.spotify.com/track/16EMONl2vH3rt9f4ehTG8g'},https://api.spotify.com/v1/tracks/16EMONl2vH3rt9f4ehTG8g,16EMONl2vH3rt9f4ehTG8g,FALSE,212,70,https://p.scdn.co/mp3-preview/6137004dc8ad1ca744abeda741208133b3cfdd26?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:16EMONl2vH3rt9f4ehTG8g,
Little More Love,['AJ Tracey'],1,160000,FALSE,TRUE,{'isrc': 'UKQNW2100011'},{'spotify': 'https://open.spotify.com/track/01SyViM4lbRtUS9h5Vq1Zy'},https://api.spotify.com/v1/tracks/01SyViM4lbRtUS9h5Vq1Zy,01SyViM4lbRtUS9h5Vq1Zy,FALSE,Little More Love,55,https://p.scdn.co/mp3-preview/8143fd89484869caadd7b9b11397c6c0f4efb154?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:01SyViM4lbRtUS9h5Vq1Zy,
Imaginary Appalachia,['Colter Wall'],1,236026,FALSE,FALSE,{'isrc': 'CA55J1542007'},{'spotify': 'https://open.spotify.com/track/7hlA8gMMz6jSp91Twsnuv3'},https://api.spotify.com/v1/tracks/7hlA8gMMz6jSp91Twsnuv3,7hlA8gMMz6jSp91Twsnuv3,FALSE,The Devil Wears a Suit and Tie,68,https://p.scdn.co/mp3-preview/c5379e2845522f5a22f89aacedd8c35659b66f81?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,7,track,spotify:track:7hlA8gMMz6jSp91Twsnuv3,
2,['Mac DeMarco'],1,233817,FALSE,FALSE,{'isrc': 'QMMZN1200050'},{'spotify': 'https://open.spotify.com/track/601KiLiZtBJRTXBrTjeieP'},https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP,601KiLiZtBJRTXBrTjeieP,FALSE,Ode to Viceroy,0,,TRUE,5,track,spotify:track:601KiLiZtBJRTXBrTjeieP,[]
Stereo Love,"['Edward Maya', 'Vika Jigulina']",1,184000,FALSE,FALSE,{'isrc': 'ROCMA0901772'},{'spotify': 'https://open.spotify.com/track/5RfBhOGNbbXT5LiIvbHLhN'},https://api.spotify.com/v1/tracks/5RfBhOGNbbXT5LiIvbHLhN,5RfBhOGNbbXT5LiIvbHLhN,FALSE,Stereo Love - Radio Edit,52,https://p.scdn.co/mp3-preview/ca37e5cdeee26003f889b47c3063bb11bce58e8c?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:5RfBhOGNbbXT5LiIvbHLhN,
Waze (feat. SL) [Edit],"['Avelino', 'SL']",1,185402,FALSE,TRUE,{'isrc': 'GBARL2100572'},{'spotify': 'https://open.spotify.com/track/3p6ydJJHynHAR4p8Ty1hvs'},https://api.spotify.com/v1/tracks/3p6ydJJHynHAR4p8Ty1hvs,3p6ydJJHynHAR4p8Ty1hvs,FALSE,Waze (feat. SL) - Edit,35,https://p.scdn.co/mp3-preview/6c57bb49695bde1657209e935cbdf2f9a70ba50b?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:3p6ydJJHynHAR4p8Ty1hvs,
Now You're Gone,['Basshunter'],1,200560,FALSE,FALSE,{'isrc': 'SEPQA0651310'},{'spotify': 'https://open.spotify.com/track/4zRLaTteTwicKINZOtPVlj'},https://api.spotify.com/v1/tracks/4zRLaTteTwicKINZOtPVlj,4zRLaTteTwicKINZOtPVlj,FALSE,DotA,0,,TRUE,14,track,spotify:track:4zRLaTteTwicKINZOtPVlj,[]
TESTING,"['A$AP Rocky', 'Skepta']",1,205040,FALSE,TRUE,{'isrc': 'USRC11800930'},{'spotify': 'https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z'},https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,7ycWLEP1GsNjVvcjawXz3z,FALSE,Praise The Lord (Da Shine) (feat. Skepta),82,https://p.scdn.co/mp3-preview/7bbefebca9a14faaf3fa49e25d8243a7fa2e79dd?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:7ycWLEP1GsNjVvcjawXz3z,
We're All Alone In This Together,['Dave'],1,182285,FALSE,TRUE,{'isrc': 'GBUM72104336'},{'spotify': 'https://open.spotify.com/track/7IPKXYU2rTMnrLW5IZ7ZI5'},https://api.spotify.com/v1/tracks/7IPKXYU2rTMnrLW5IZ7ZI5,7IPKXYU2rTMnrLW5IZ7ZI5,FALSE,Verdansk,70,https://p.scdn.co/mp3-preview/072df5cf54c7cbb3ac4798eac6a429b322964234?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:7IPKXYU2rTMnrLW5IZ7ZI5,
Going up the Coast,['Clay and Friends'],1,174613,FALSE,FALSE,{'isrc': 'CAIKK1800001'},{'spotify': 'https://open.spotify.com/track/2bTvNKT8bxyyPhzHu4A2Wx'},https://api.spotify.com/v1/tracks/2bTvNKT8bxyyPhzHu4A2Wx,2bTvNKT8bxyyPhzHu4A2Wx,FALSE,Going up the Coast,56,https://p.scdn.co/mp3-preview/6ceafddf145c1fac76f8088fd26d48b2db2cdec6?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:2bTvNKT8bxyyPhzHu4A2Wx,
Sleeping With Roses II,['Chelsea Cutler'],1,184040,FALSE,FALSE,{'isrc': 'TCADY1804631'},{'spotify': 'https://open.spotify.com/track/0ppSBkcjCsfVCXsAPYDAk0'},https://api.spotify.com/v1/tracks/0ppSBkcjCsfVCXsAPYDAk0,0ppSBkcjCsfVCXsAPYDAk0,FALSE,AF1s,0,,TRUE,4,track,spotify:track:0ppSBkcjCsfVCXsAPYDAk0,[]
Views,"['Drake', 'Wizkid', 'Kyla']",1,173986,FALSE,FALSE,{'isrc': 'USCM51600028'},{'spotify': 'https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0'},https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,1zi7xx7UVEFkmKfv06H8x0,FALSE,One Dance,85,https://p.scdn.co/mp3-preview/b96700a9da12df888cfb2ccd8b180183d740a5a8?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,12,track,spotify:track:1zi7xx7UVEFkmKfv06H8x0,
Berhana,['Berhana'],1,261102,FALSE,TRUE,{'isrc': 'USYBL1600647'},{'spotify': 'https://open.spotify.com/track/1x1BKrrpq7CfOZPBeUsx16'},https://api.spotify.com/v1/tracks/1x1BKrrpq7CfOZPBeUsx16,1x1BKrrpq7CfOZPBeUsx16,FALSE,Grey Luh,54,https://p.scdn.co/mp3-preview/c7db02b6a1df155decda951e9b0e1160d1de221e?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,6,track,spotify:track:1x1BKrrpq7CfOZPBeUsx16,
Bucket List Project,"['Saba', 'Jean Deaux']",1,201732,FALSE,TRUE,{'isrc': 'USUYG1115900'},{'spotify': 'https://open.spotify.com/track/3DlgDXIYtnWtJKiB8bZQMv'},https://api.spotify.com/v1/tracks/3DlgDXIYtnWtJKiB8bZQMv,3DlgDXIYtnWtJKiB8bZQMv,FALSE,Photosynthesis,65,https://p.scdn.co/mp3-preview/73018970fe1d9e0711fbfa87da1af82bd1f85a6b?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,8,track,spotify:track:3DlgDXIYtnWtJKiB8bZQMv,
Bounce,"['Hartman', 'King Majik', 'Bawse']",1,179422,FALSE,FALSE,{'isrc': 'NLYK92000007'},{'spotify': 'https://open.spotify.com/track/7pZVrdmrhJiWK3Jao1M2vc'},https://api.spotify.com/v1/tracks/7pZVrdmrhJiWK3Jao1M2vc,7pZVrdmrhJiWK3Jao1M2vc,FALSE,Bounce,16,https://p.scdn.co/mp3-preview/d8be2ab0cfe6cc7d815acb4fe70f73cfa4b74b2f?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:7pZVrdmrhJiWK3Jao1M2vc,
Limbo,['Aminé'],1,143152,FALSE,TRUE,{'isrc': 'USUM72013373'},{'spotify': 'https://open.spotify.com/track/4FFC7McrnnwAWKbAqbckTP'},https://api.spotify.com/v1/tracks/4FFC7McrnnwAWKbAqbckTP,4FFC7McrnnwAWKbAqbckTP,FALSE,Woodlawn,59,https://p.scdn.co/mp3-preview/1415304ec768705c4a937e52d9348226d1069cd4?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:4FFC7McrnnwAWKbAqbckTP,
Acid Rap,"['Chance the Rapper', 'BJ The Chicago Kid', 'Lili K']",1,239250,FALSE,TRUE,{'isrc': 'QMEZE1949600'},{'spotify': 'https://open.spotify.com/track/23Ij3xEFmYkRl00dDJCVMP'},https://api.spotify.com/v1/tracks/23Ij3xEFmYkRl00dDJCVMP,23Ij3xEFmYkRl00dDJCVMP,FALSE,Good Ass Intro,53,https://p.scdn.co/mp3-preview/e46c0d52e79cbbf1ebc558ec6d50a8cff771967f?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:23Ij3xEFmYkRl00dDJCVMP,
SHAKE THE SNOW GLOBE,"['Russ', 'BIA']",2,160720,FALSE,TRUE,{'isrc': 'USSM11913145'},{'spotify': 'https://open.spotify.com/track/0xKBkLcF71uUQeTA7FSu4A'},https://api.spotify.com/v1/tracks/0xKBkLcF71uUQeTA7FSu4A,0xKBkLcF71uUQeTA7FSu4A,FALSE,BEST ON EARTH (feat. BIA) - Bonus,68,https://p.scdn.co/mp3-preview/32d8b56d8415ca0e5db4def9a7e5ddaa5f6feb8f?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:0xKBkLcF71uUQeTA7FSu4A,
Not Mine / No Rush,"['A2', 'Etta Bond']",1,247375,FALSE,TRUE,{'isrc': 'FR59R2102756'},{'spotify': 'https://open.spotify.com/track/7B0qxjKIOWM5gJ8uuwcvyE'},https://api.spotify.com/v1/tracks/7B0qxjKIOWM5gJ8uuwcvyE,7B0qxjKIOWM5gJ8uuwcvyE,FALSE,No Rush,15,https://p.scdn.co/mp3-preview/8706d919349e76515ea82808a9b7145dbeaa0e81?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:7B0qxjKIOWM5gJ8uuwcvyE,
Tropical,['SL'],1,180062,FALSE,TRUE,{'isrc': 'GBLFP1797885'},{'spotify': 'https://open.spotify.com/track/3qIxnOusGoTpHvNVMLHscw'},https://api.spotify.com/v1/tracks/3qIxnOusGoTpHvNVMLHscw,3qIxnOusGoTpHvNVMLHscw,FALSE,Tropical,73,https://p.scdn.co/mp3-preview/a23f15b89e936b690df0433349b6eb2d29f29c47?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:3qIxnOusGoTpHvNVMLHscw,
Leftovers,['Dennis Lloyd'],1,192628,FALSE,FALSE,{'isrc': 'uscgh1715635'},{'spotify': 'https://open.spotify.com/track/0dcuGoAIPAT7OrP5CGSVBA'},https://api.spotify.com/v1/tracks/0dcuGoAIPAT7OrP5CGSVBA,0dcuGoAIPAT7OrP5CGSVBA,FALSE,Leftovers,61,https://p.scdn.co/mp3-preview/f5ce606aa82303bece55faac357f0ca398a9e1c6?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:0dcuGoAIPAT7OrP5CGSVBA,
In the Shape of a Dream,['ayokay'],1,192546,FALSE,FALSE,{'isrc': 'USSM11802825'},{'spotify': 'https://open.spotify.com/track/1wRSOWVqpLIrMCo4vevEef'},https://api.spotify.com/v1/tracks/1wRSOWVqpLIrMCo4vevEef,1wRSOWVqpLIrMCo4vevEef,FALSE,Swing Swing,47,https://p.scdn.co/mp3-preview/56820ccf31542368391f5331a7513c7970ee7bad?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:1wRSOWVqpLIrMCo4vevEef,
Oblivion,['T-Pain'],1,144752,FALSE,TRUE,{'isrc': 'USRC11703085'},{'spotify': 'https://open.spotify.com/track/5xyVUVbr3UJ6Fi3AoCRYgw'},https://api.spotify.com/v1/tracks/5xyVUVbr3UJ6Fi3AoCRYgw,5xyVUVbr3UJ6Fi3AoCRYgw,FALSE,Who Died,0,,TRUE,1,track,spotify:track:5xyVUVbr3UJ6Fi3AoCRYgw,[]
Mozambique (feat. Jaykae & Moonchild Sanelly),"['Ghetts', 'Jaykae', 'Moonchild Sanelly']",1,249680,FALSE,TRUE,{'isrc': 'GBAHT2000270'},{'spotify': 'https://open.spotify.com/track/0M9jP4EU62RY40mQCxK8AT'},https://api.spotify.com/v1/tracks/0M9jP4EU62RY40mQCxK8AT,0M9jP4EU62RY40mQCxK8AT,FALSE,Mozambique (feat. Jaykae & Moonchild Sanelly) - Single Version,42,https://p.scdn.co/mp3-preview/85e90aa70ce516884c424f98200e34e0bf8c8878?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:0M9jP4EU62RY40mQCxK8AT,
CHERISH,['Jay Prince'],1,212866,FALSE,TRUE,{'isrc': 'SE5VF1800116'},{'spotify': 'https://open.spotify.com/track/49q1cx7bCJ53daNU3lENe7'},https://api.spotify.com/v1/tracks/49q1cx7bCJ53daNU3lENe7,49q1cx7bCJ53daNU3lENe7,FALSE,In The Morning,46,https://p.scdn.co/mp3-preview/080be708338808cf36f0bb7d8a80b01a690a33c7?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:49q1cx7bCJ53daNU3lENe7,
Dark Days (feat. Kojey Radical),"['Che Lingo', 'Kojey Radical']",1,182640,FALSE,TRUE,{'isrc': 'UKS3T2000030'},{'spotify': 'https://open.spotify.com/track/5DnO74JMfDrGasa0DWXqyc'},https://api.spotify.com/v1/tracks/5DnO74JMfDrGasa0DWXqyc,5DnO74JMfDrGasa0DWXqyc,FALSE,Dark Days (feat. Kojey Radical),0,,TRUE,1,track,spotify:track:5DnO74JMfDrGasa0DWXqyc,[]
Yesterday,['Loyle Carner'],1,168654,FALSE,FALSE,{'isrc': 'GBUM72005335'},{'spotify': 'https://open.spotify.com/track/0pRyOQjr12h9RBEFmhbTQc'},https://api.spotify.com/v1/tracks/0pRyOQjr12h9RBEFmhbTQc,0pRyOQjr12h9RBEFmhbTQc,FALSE,Yesterday,59,https://p.scdn.co/mp3-preview/29a0727f9f380643c72e7c6019bead988d3d4ee5?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:0pRyOQjr12h9RBEFmhbTQc,
Home For Now,['Benji Lewis'],1,222439,FALSE,FALSE,{'isrc': 'USCGH1748607'},{'spotify': 'https://open.spotify.com/track/4Sf23jc43dY15uoRQ4fWjf'},https://api.spotify.com/v1/tracks/4Sf23jc43dY15uoRQ4fWjf,4Sf23jc43dY15uoRQ4fWjf,FALSE,Drift,30,,TRUE,2,track,spotify:track:4Sf23jc43dY15uoRQ4fWjf,[]
Konnichiwa,"['Skepta', 'Young Lord']",1,223411,FALSE,TRUE,{'isrc': 'GBSYA1400010'},{'spotify': 'https://open.spotify.com/track/26DdCbuwHRX1BgWeHQIn1C'},https://api.spotify.com/v1/tracks/26DdCbuwHRX1BgWeHQIn1C,26DdCbuwHRX1BgWeHQIn1C,FALSE,It Ain't Safe,57,https://p.scdn.co/mp3-preview/3b11c1e09a4b84234ea9fb115757726ea17fb5d0?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,5,track,spotify:track:26DdCbuwHRX1BgWeHQIn1C,
